Metadata_JCP2022,Metadata_NCBI_Gene_ID,Metadata_Symbol
JCP2022_800310,26523,AGO1
JCP2022_800311,27161,AGO2
JCP2022_800312,192669,AGO3
JCP2022_800313,192670,AGO4
JCP2022_800314,10554,AGPAT1
JCP2022_800315,10555,AGPAT2
JCP2022_800316,56894,AGPAT3
JCP2022_800317,56895,AGPAT4
JCP2022_800318,55326,AGPAT5
JCP2022_800319,8540,AGPS
JCP2022_800320,183,AGT
JCP2022_800321,23287,AGTPBP1
JCP2022_800322,185,AGTR1
JCP2022_800323,186,AGTR2
JCP2022_800324,189,AGXT
JCP2022_800325,64902,AGXT2
JCP2022_800326,25909,AHCTF1
JCP2022_800327,191,AHCY
JCP2022_800328,10768,AHCYL1
JCP2022_800329,23382,AHCYL2
JCP2022_800330,196,AHR
JCP2022_800331,10598,AHSA1
JCP2022_800332,57379,AICDA
JCP2022_800333,9131,AIFM1
JCP2022_800334,84883,AIFM2
JCP2022_800335,150209,AIFM3
JCP2022_800336,9049,AIP
JCP2022_800337,23746,AIPL1
JCP2022_800338,326,AIRE
JCP2022_800339,203,AK1
JCP2022_800340,204,AK2
JCP2022_800341,50808,AK3
JCP2022_800342,205,AK4
JCP2022_800343,26289,AK5
JCP2022_800344,102157402,AK6
JCP2022_800345,122481,AK7
JCP2022_800346,158067,AK8
JCP2022_800347,221264,AK9
JCP2022_800348,11216,AKAP10
JCP2022_800349,11215,AKAP11
JCP2022_800350,11214,AKAP13
JCP2022_800351,158798,AKAP14
JCP2022_800352,10566,AKAP3
JCP2022_800353,8852,AKAP4
JCP2022_800354,9495,AKAP5
JCP2022_800355,9472,AKAP6
JCP2022_800356,9465,AKAP7
JCP2022_800357,10270,AKAP8
JCP2022_800358,26993,AKAP8L
JCP2022_800359,10142,AKAP9
JCP2022_800360,80709,AKNA
JCP2022_800361,10327,AKR1A1
JCP2022_800362,231,AKR1B1
JCP2022_800363,57016,AKR1B10
JCP2022_800364,1645,AKR1C1
JCP2022_800365,1646,AKR1C2
JCP2022_800366,8644,AKR1C3
JCP2022_800367,1109,AKR1C4
JCP2022_800368,6718,AKR1D1
JCP2022_800369,83592,AKR1E2
JCP2022_800370,8574,AKR7A2
JCP2022_800371,22977,AKR7A3
JCP2022_800372,207,AKT1
JCP2022_800373,208,AKT2
JCP2022_800374,10000,AKT3
JCP2022_800375,64400,AKTIP
JCP2022_800376,210,ALAD
JCP2022_800377,211,ALAS1
JCP2022_800378,212,ALAS2
JCP2022_800379,213,ALB
JCP2022_800380,126133,ALDH16A1
JCP2022_800381,5832,ALDH18A1
JCP2022_800382,216,ALDH1A1
JCP2022_800383,8854,ALDH1A2
JCP2022_800384,220,ALDH1A3
JCP2022_800385,219,ALDH1B1
JCP2022_800386,10840,ALDH1L1
JCP2022_800387,160428,ALDH1L2
JCP2022_800388,217,ALDH2
JCP2022_800389,218,ALDH3A1
JCP2022_800390,224,ALDH3A2
JCP2022_800391,221,ALDH3B1
JCP2022_800392,222,ALDH3B2
JCP2022_800393,8659,ALDH4A1
JCP2022_800394,7915,ALDH5A1
JCP2022_800395,4329,ALDH6A1
JCP2022_800396,501,ALDH7A1
JCP2022_800397,64577,ALDH8A1
JCP2022_800398,223,ALDH9A1
JCP2022_800399,226,ALDOA
JCP2022_800400,229,ALDOB
JCP2022_800401,230,ALDOC
JCP2022_800402,56052,ALG1
JCP2022_800403,84920,ALG10
JCP2022_800404,144245,ALG10B
JCP2022_800405,79087,ALG12
JCP2022_800406,79868,ALG13
JCP2022_800407,85365,ALG2
JCP2022_800408,10195,ALG3
JCP2022_800409,29880,ALG5
JCP2022_800410,29929,ALG6
JCP2022_800411,79053,ALG8
JCP2022_800412,238,ALK
JCP2022_800413,8846,ALKBH1
JCP2022_800414,121642,ALKBH2
JCP2022_800415,221120,ALKBH3
JCP2022_800416,55821,ALLC
JCP2022_800417,239,ALOX12
JCP2022_800418,242,ALOX12B
JCP2022_800419,246,ALOX15
JCP2022_800420,247,ALOX15B
JCP2022_800421,240,ALOX5
JCP2022_800422,241,ALOX5AP
JCP2022_800423,59344,ALOXE3
JCP2022_800424,248,ALPI
JCP2022_800425,80216,ALPK1
JCP2022_800426,115701,ALPK2
JCP2022_800427,57538,ALPK3
JCP2022_800428,249,ALPL
JCP2022_800429,251,ALPPL2
JCP2022_800430,8092,ALX1
JCP2022_800431,257,ALX3
JCP2022_800432,60529,ALX4
JCP2022_800433,10189,ALYREF
JCP2022_800434,23600,AMACR
JCP2022_800435,259,AMBP
JCP2022_800436,262,AMD1
JCP2022_800437,144193,AMDHD1
JCP2022_800438,51005,AMDHD2
JCP2022_800439,267,AMFR
JCP2022_800440,269,AMHR2
JCP2022_800441,270,AMPD1
JCP2022_800442,271,AMPD2
JCP2022_800443,272,AMPD3
JCP2022_800444,275,AMT
JCP2022_800445,279,AMY2A
JCP2022_800446,280,AMY2B
